IP:PORT, LOSS, DELAY
162.159.192.114:8854,0.00%,144 ms
162.159.192.251:4177,0.00%,148 ms
162.159.192.207:4177,0.00%,148 ms
188.114.96.241:8854,0.00%,151 ms
162.159.192.207:8854,0.00%,153 ms
162.159.192.26:8854,0.00%,153 ms
188.114.98.49:8854,0.00%,153 ms
162.159.192.76:8854,0.00%,153 ms
162.159.192.26:4177,0.00%,154 ms
162.159.192.115:8854,0.00%,154 ms
188.114.98.154:8854,0.00%,154 ms
162.159.192.205:4177,0.00%,155 ms
162.159.192.239:8854,0.00%,155 ms
188.114.97.131:8854,0.00%,155 ms
188.114.98.203:4177,0.00%,156 ms
162.159.195.58:8854,0.00%,156 ms
162.159.192.114:4177,0.00%,157 ms
162.159.192.76:4177,0.00%,157 ms
162.159.195.142:8854,0.00%,157 ms
162.159.192.20:8854,0.00%,158 ms
188.114.98.10:8854,0.00%,158 ms
162.159.195.222:4177,0.00%,159 ms
188.114.96.60:4177,0.00%,159 ms
162.159.195.169:4177,0.00%,159 ms
188.114.99.8:8854,0.00%,159 ms
162.159.192.239:4177,0.00%,160 ms
188.114.98.75:8854,0.00%,160 ms
188.114.98.133:4177,0.00%,160 ms
162.159.192.251:8854,0.00%,160 ms
188.114.97.79:8854,0.00%,162 ms
188.114.96.60:8854,0.00%,165 ms
188.114.97.102:4177,0.00%,165 ms
188.114.97.246:4177,0.00%,168 ms
188.114.97.177:8854,0.00%,168 ms
188.114.99.233:8854,0.00%,168 ms
188.114.97.79:4177,0.00%,169 ms
188.114.99.29:4177,0.00%,169 ms
188.114.97.54:4177,0.00%,171 ms
162.159.192.221:8854,10.00%,222 ms
162.159.192.20:4177,10.00%,223 ms
162.159.192.38:4177,10.00%,223 ms
162.159.192.30:4177,10.00%,224 ms
162.159.195.56:8854,10.00%,232 ms
162.159.195.209:4177,10.00%,232 ms
188.114.99.67:4177,10.00%,232 ms
188.114.99.225:8854,10.00%,233 ms
188.114.96.150:8854,10.00%,233 ms
162.159.195.176:8854,10.00%,233 ms
188.114.98.33:4177,10.00%,234 ms
188.114.96.108:4177,10.00%,234 ms
188.114.96.57:4177,10.00%,235 ms
162.159.195.142:4177,10.00%,236 ms
